IR Value,Red Value,Heart Rate,SpO2
37225,62246,,
37236,62251,,
37229,62247,,
37233,62264,,
37225,62237,,
37238,62241,,
37234,62240,,
37229,62248,,
37231,62248,,
37227,62247,,
37227,62247,,
37232,62247,,
37226,62255,,
37227,62255,,
37235,62250,,
37230,62252,,
37234,62271,,
37225,62240,,
37230,62259,,
37229,62265,,
37228,62249,,
37232,62255,,
37227,62255,,
37230,62254,,
37220,62234,,
37220,62246,,
37213,62230,,
37221,62240,,
37221,62229,,
37213,62230,,
37215,62230,,
37215,62210,,
37214,62223,,
37214,62223,,
37217,62229,,
37208,62216,,
37212,62230,,
37210,62219,,
37208,62220,,
37220,62227,,
37211,62221,,
37217,62237,,
37210,62215,,
37221,62228,,
37209,62224,,
37208,62230,,
37208,62248,,
37218,62240,,
37209,62220,,
37216,62235,,
37214,62243,,
37213,62231,,
37222,62237,,
37217,62247,,
37216,62242,,
37211,62240,,
37216,62240,,
37214,62250,,
37220,62248,,
37207,62242,,
37222,62245,,
37221,62262,,
37212,62254,,
37216,62262,,
37212,62238,,
37212,62244,,
37209,62238,,
37208,62224,,
37216,62228,,
37213,62219,,
37211,62235,,
37203,62219,,
37207,62234,,
37205,62224,,
37209,62222,,
37214,62220,,
37209,62223,,
37205,62232,,
37207,62211,,
37204,62225,,
37204,62225,,
37201,62224,,
37206,62227,,
37208,62223,,
37204,62223,,
37212,62215,,
37212,62224,90,89
37212,62224,,
37223,62241,,
37225,62252,,
37225,62252,,
37214,62247,,
37222,62234,,
37212,62257,,
37224,62243,,
37225,62256,,
37222,62263,,
37226,62272,,
37233,62261,,
37217,62259,,
37227,62253,,
37230,62266,,
37224,62265,,
37222,62259,,
37228,62271,,
37215,62245,,
37221,62245,,
37213,62252,,
37218,62244,,
37221,62245,,
37217,62242,,
37224,62237,,
37219,62233,,
37211,62228,,
37220,62241,,
37216,62235,,
37222,62252,,
37219,62250,,
37228,62244,,
37218,62240,,
37229,62249,,
37217,62249,,
37222,62236,,
37228,62260,,
37226,62240,,
37232,62256,,
37224,62254,,
37226,62254,,
37232,62255,,
37237,62275,,
37223,62264,,
37232,62264,,
37233,62255,,
37233,62263,,
37234,62274,,
37232,62266,,
37240,62272,,
37236,62266,,
37232,62274,,
37238,62273,,
37238,62273,,
37236,62276,,
37241,62271,,
37234,62254,,
37236,62262,,
37235,62260,,
37232,62253,,
37231,62245,,
37233,62250,,
37224,62238,,
37230,62227,,
37234,62231,,
37229,62220,,
37234,62243,,
37234,62229,,
37231,62223,,
37233,62247,,
37231,62234,,
37239,62243,,
37247,62259,,
37247,62262,,
37241,62258,,
37247,62266,,
37245,62266,,
37244,62257,,
37250,62247,,
37243,62255,,
37239,62256,,
37249,62259,,
37244,62256,,
37250,62272,,
37242,62254,,
37248,62263,,
37262,62284,,
37259,62271,,
37268,62294,,
37264,62301,,
37264,62289,,
37271,62292,,
37270,62287,,
37273,62296,,
37272,62282,,
37273,62289,,
37264,62280,,
37266,62286,,
37260,62276,,
37259,62267,,
37266,62267,,
37262,62274,,
37267,62262,,
37261,62256,,
37272,62266,,
37258,62254,,
37267,62249,,
37269,62263,,
37261,62255,,
37277,62271,,
37267,62268,,
37258,62260,,
37262,62250,,
37262,62250,,
37261,62248,,
37259,62248,,
37262,62252,,
37256,62255,,
37266,62275,,
37253,62253,,
37268,62267,,
37267,62272,,
37261,62267,,
37270,62285,,
37266,62262,,
37270,62281,,
37269,62267,,
37274,62295,,
37263,62281,,
37267,62287,,
37274,62285,,
